,state,GSDP - CONSTANT PRICES (` in Crore)2011-12,GSDP - CONSTANT PRICES (` in Crore)2012-13,GSDP - CONSTANT PRICES (` in Crore)2013-14,GSDP - CONSTANT PRICES (` in Crore)2014-15,GSDP - CONSTANT PRICES (` in Crore)2015-16,GSDP - CONSTANT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17,GSDP - CURRENT PRICES (` in Crore)2011-12,GSDP - CURRENT PRICES (` in Crore)2012-13,GSDP - CURRENT PRICES (` in Crore)2013-14,GSDP - CURRENT PRICES (` in Crore)2014-15,GSDP - CURRENT PRICES (` in Crore)2015-16,GSDP - CURRENT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17,NSDP - CONSTANT PRICES (` in Crore)2011-12,NSDP - CONSTANT PRICES (` in Crore)2012-13,NSDP - CONSTANT PRICES (` in Crore)2013-14,NSDP - CONSTANT PRICES (` in Crore)2014-15,NSDP - CONSTANT PRICES (` in Crore)2015-16,NSDP - CONSTANT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17,NSDP - CURRENT PRICES (` in Crore)2011-12,NSDP - CURRENT PRICES (` in Crore)2012-13,NSDP - CURRENT PRICES (` in Crore)2013-14,NSDP - CURRENT PRICES (` in Crore)2014-15,NSDP - CURRENT PRICES (` in Crore)2015-16,NSDP - CURRENT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17
10,Goa,42367.0,35850.0,31568.0,34611.0,37520.0,280707.04166666674,-15.38,-11.94,9.64,6.555861111111112,7.390833333333332,42367.0,38120.0,35921.0,40633.0,45002.0,356540.25,-10.02,-5.77,13.12,10.75,10.203333333333337,38009.0,32453.0,27971.0,30675.0,33584.0,249080.25,-14.62,-13.81,9.67,6.599527777777778,7.524583333333335,38009.0,34567.0,32043.0,36290.0,40659.0,318930.45833333326,-9.05,-7.3,13.26,9.433277777777779,10.99125
11,Gujarat,615606.0,682650.0,734284.0,791569.0,864314.0,280707.04166666674,10.89,7.56,7.8,6.555861111111112,7.390833333333332,615606.0,724495.0,807623.0,895027.0,994316.0,356540.25,17.69,11.47,10.82,11.09,10.203333333333337,532809.0,596659.0,641489.0,695974.0,761049.0,249080.25,11.98,7.51,8.49,6.599527777777778,7.524583333333335,532809.0,634572.0,707456.0,789949.0,886092.0,318930.45833333326,19.1,11.49,11.66,9.433277777777779,10.99125
12,Haryana,297539.0,320570.0,346799.0,366636.0,399646.0,434608.0,7.74,8.18,5.72,8.7325,8.26,297539.0,347032.0,400662.0,437462.0,485184.0,547396.0,16.63,15.45,9.18,10.91,12.82,271152.0,289414.0,314224.0,331413.0,361231.0,392729.0,6.73,8.57,5.47,8.7725,8.09,271152.0,314353.0,363590.0,395890.0,438140.0,494090.0,15.93,15.66,8.88,11.365,12.88
13,Himachal Pradesh,72720.0,77384.0,82847.0,89032.0,341666.0,466412.5,6.41,7.06,7.47,8.7325,8.26,72720.0,82820.0,94764.0,104369.0,420620.66666666674,584890.5,13.89,14.42,10.14,12.33,12.79,60536.0,64519.0,69398.0,74572.0,303318.66666666674,420629.0,6.58,7.56,7.46,8.7725,8.09,60536.0,69432.0,80129.0,88196.0,375173.0,529872.5,14.7,15.41,10.07,11.365,12.88
14,Jammu & Kashmir,78254.0,80515.0,85530.0,85267.0,95965.0,466412.5,2.89,6.23,-0.31,8.7325,8.26,78254.0,87105.0,95893.0,100404.0,118387.0,584890.5,11.31,10.09,4.7,17.91,12.79,67272.0,67064.0,70950.0,69943.0,78775.0,420629.0,-0.31,5.8,-1.42,8.7725,8.09,67272.0,72963.0,79966.0,83217.0,98063.0,529872.5,8.46,9.6,4.07,11.365,12.88
15,Jharkhand,150918.0,163250.0,165816.0,186491.0,209137.0,314364.0,8.17,1.57,12.47,12.14,7.94,150918.0,174724.0,188567.0,217107.0,241955.0,378991.0,15.77,7.92,15.14,11.44,10.85,137383.0,149526.0,150609.0,169758.0,192404.0,273914.0,8.84,0.72,12.71,13.34,8.14,137383.0,160304.0,172030.0,198386.0,223234.0,334067.0,16.68,7.31,15.32,12.52,11.27
16,Karnataka,603778.0,641212.0,708623.0,760282.0,815545.0,534888.75,6.2,10.51,7.29,7.27,9.285,603778.0,691700.0,817886.0,921788.0,1027068.0,680481.0,14.56,18.24,12.7,11.42,12.53,552720.0,584730.0,644097.0,691676.0,741744.0,474956.0,5.79,10.15,7.39,7.24,9.7775,552720.0,632211.0,747788.0,843918.0,940006.0,608998.25,14.38,18.28,12.86,11.39,12.8875
17,Kerala,364048.0,387693.0,402781.0,432237.0,467243.0,534888.75,6.5,3.89,7.31,8.856,9.285,364048.0,412313.0,465041.0,526002.0,588337.0,680481.0,13.26,12.79,13.11,11.85,12.53,328021.0,348616.0,364707.0,393702.0,426132.0,474956.0,6.28,4.62,7.95,9.097999999999999,9.7775,328021.0,371384.0,417265.0,473045.0,531126.0,608998.25,13.22,12.35,13.37,12.588,12.8875
18,Lakshadweep,591851.25,632650.75,672575.0,715780.25,450917.0,280707.04166666674,1.59,1.9825,7.3275000000000015,6.555861111111112,7.390833333333332,591851.25,676271.25,760187.75,834994.0,519659.0,356540.25,8.66,7.6775,11.0225,10.92,10.203333333333337,521742.5,557055.5,591641.75,629450.5,397316.5,249080.25,1.7325000000000004,1.4825,7.4075,6.599527777777778,7.524583333333335,521742.5,596747.75,671726.25,738264.75,463375.5,318930.45833333326,9.045,7.3975,11.22,9.433277777777779,10.99125
19,Madhya Pradesh,315561.0,351461.0,364197.0,383994.0,414607.0,465212.0,11.38,3.62,5.44,7.97,12.21,315561.0,380924.0,437737.0,481982.0,543975.0,640484.0,20.71,14.91,10.11,12.86,17.74,282370.0,306632.0,321660.0,337522.0,363224.0,408493.0,8.59,4.9,4.93,7.61,12.46,282370.0,333936.0,391369.0,429896.0,483969.0,571934.0,18.26,17.2,9.84,12.58,18.18
20,Maharashtra,1272967.0,1357116.0,1441843.0,1524846.0,450917.0,280707.04166666674,6.61,6.24,5.76,6.555861111111112,7.390833333333332,1272967.0,1448466.0,1647506.0,1792122.0,519659.0,356540.25,13.79,13.74,8.78,10.92,10.203333333333337,1119192.0,1188885.0,1261944.0,1329308.0,397316.5,249080.25,6.23,6.15,5.34,6.599527777777778,7.524583333333335,1119192.0,1271017.0,1450003.0,1572037.0,463375.5,318930.45833333326,13.57,14.08,8.42,9.433277777777779,10.99125
