,state_water,Primary_Only2013-14_water,Primary_with_U_Primary2013-14_water,Primary_with_U_Primary_Sec_HrSec2013-14_water,U_Primary_Only2013-14_water,U_Primary_With_Sec_HrSec2013-14_water,Primary_with_U_Primary_Sec2013-14_water,U_Primary_With_Sec2013-14_water,Sec_Only2013-14_water,Sec_with_HrSec.2013-14_water,HrSec_Only2013-14_water,All Schools2013-14_water,Primary_Only2014-15_water,Primary_with_U_Primary2014-15_water,Primary_with_U_Primary_Sec_HrSec2014-15_water,U_Primary_Only2014-15_water,U_Primary_With_Sec_HrSec2014-15_water,Primary_with_U_Primary_Sec2014-15_water,U_Primary_With_Sec2014-15_water,Sec_Only2014-15_water,Sec_with_HrSec.2014-15_water,HrSec_Only2014-15_water,All Schools2014-15_water,Primary_Only2015-16_water,Primary_with_U_Primary2015-16_water,Primary_with_U_Primary_Sec_HrSec2015-16_water,U_Primary_Only2015-16_water,U_Primary_With_Sec_HrSec2015-16_water,Primary_with_U_Primary_Sec2015-16_water,U_Primary_With_Sec2015-16_water,Sec_Only2015-16_water,Sec_with_HrSec.2015-16_water,HrSec_Only2015-16_water,All Schools2015-16_water
18,Lakshadweep,100.0,100.0,100.0,100.0,100.0,99.875,99.122,99.964,100.0,99.945,100.0,100.0,100.0,100.0,100.0,100.0,99.26833333333332,98.8175,99.934,100.0,99.96999999999998,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6775,99.985,100.0,99.936,100.0
19,Madhya Pradesh,95.78,99.65,99.41,94.61,100.0,99.68,100.0,95.33,97.88,100.0,96.13,95.76,99.77,99.89,94.89,100.0,99.84,100.0,94.8,98.12,100.0,96.23,95.76,99.74,99.95,95.24,100.0,99.93,100.0,96.11,98.71,100.0,96.37
20,Maharashtra,98.94,99.53,99.83,100.0,99.94,99.94,99.86,99.9,99.9,99.82,99.31,99.42,99.76,100.0,100.0,100.0,100.0,99.97,99.95,100.0,99.95,99.64,99.58,99.82,99.79,100.0,100.0,100.0,99.97,99.97,100.0,99.81,99.74
21,Manipur,84.35,93.14,98.85,96.83,100.0,98.68,98.68,75.0,100.0,100.0,89.09,83.07,95.1,100.0,96.72,95.65,99.0,98.68,73.17,100.0,100.0,88.58,99.83,99.31,100.0,100.0,100.0,99.15,100.0,97.5,100.0,100.0,99.64
22,Meghalaya,61.04,59.4,92.31,57.55,95.0,88.37,81.82,72.39,91.89,80.0,61.76,62.59,63.16,100.0,61.13,97.92,86.32,86.3,71.75,93.02,83.51,63.74,62.16,61.2,100.0,61.39,100.0,86.92,88.74,73.62,92.19,88.07,63.81
23,Mizoram,94.33,93.67,100.0,94.45,91.73857142857142,93.59857142857143,91.98,89.35,89.432,91.15,93.39,90.79,91.6,97.66285714285713,93.4,95.09285714285713,94.74857142857141,93.53285714285713,93.44,83.494,95.45,92.23,91.61,93.32,98.54142857142858,94.03,96.68571428571428,95.94,93.38428571428572,94.63,88.39000000000001,94.93,93.1
24,NCT of Delhi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.488,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.676,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.588,100.0,100.0,100.0
25,Nagaland,69.27,79.41,91.01,59.47,74.07,93.27,79.9,69.12,66.67,91.67,72.33,72.27,83.9,91.84,64.29,84.09,91.48,80.84,66.67,50.0,95.65,78.18,75.81,84.61,94.29,82.05,82.61,93.4,82.12,100.0,66.67,95.24,82.06
26,Odisha,95.86,98.14,97.52,96.9,97.83,98.39,98.07,99.5,98.3125,98.17666666666666,96.85,97.15,98.94,100.0,99.06,100.0,98.93,99.26,98.71,99.03,94.98666666666668,98.03,99.28,99.78,100.0,99.47,100.0,99.69,99.62,99.19,99.175,93.95,99.39
27,Puducherry,100.0,100.0,100.0,97.625,100.0,100.0,100.0,99.06333333333332,100.0,100.0,100.0,99.65,100.0,100.0,100.0,100.0,99.38,100.0,98.682,100.0,100.0,99.73,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.84,100.0,100.0,100.0
28,Punjab,99.78,99.93,99.87,99.58,100.0,99.96,99.95,100.0,100.0,98.63,99.77,99.95,100.0,100.0,100.0,100.0,99.96,100.0,100.0,100.0,100.0,99.97,99.99,99.92,100.0,100.0,100.0,99.96,100.0,100.0,100.0,100.0,99.98
29,Rajasthan,93.58,98.57,99.79,99.59,99.13,99.31,96.2,100.0,99.45,100.0,96.31,94.43,98.69,99.39,99.54,98.98,98.5,98.01,100.0,99.41,100.0,97.08,94.35,98.21,98.73,93.42,98.98,98.94,98.74,100.0,99.38,99.936,96.84
30,Sikkim,96.04,99.1,98.65,100.0,100.0,97.6,100.0,78.832,89.432,93.17333333333332,97.18,96.22,98.5,98.77,100.0,100.0,97.78,100.0,78.36200000000002,83.49399999999999,94.306,97.17,97.59,99.42,100.0,100.0,100.0,100.0,100.0,91.074,88.39,95.94666666666666,98.51
31,Tamil Nadu,100.0,100.0,100.0,100.0,100.0,99.4975,99.005,100.0,100.0,100.0,100.0,99.86,99.95,99.86,99.13,99.36,99.656,99.102,100.0,100.0,100.0,99.81,99.97,99.95,99.77,99.19,100.0,99.78,100.0,100.0,100.0,100.0,99.96
32,Telangana,90.2,97.02,100.0,100.0,91.96,99.5,98.29,94.12,100.0,97.76,93.6,90.19,97.26,100.0,99.838,94.3,99.75,97.69,99.84,100.0,98.18,94.0,86.89,94.53,99.66,90.91,87.26,98.84,96.02,97.5,100.0,97.52,90.35
33,Tripura,83.0,88.2,75.16,50.0,82.09,88.48,90.0,78.832,89.432,93.17333333333332,84.48,84.74,89.87,99.09,100.0,100.0,98.62,100.0,78.362,83.494,94.306,88.98,85.51,91.75,99.13,100.0,100.0,97.98,90.0,91.07399999999998,88.39,95.94666666666664,89.84
34,Uttar Pradesh,98.83,99.67,96.76,96.87,99.02,97.85,99.62,97.03,98.74,100.0,98.17,98.85,99.8,99.73,97.36,99.96,99.89,99.81,97.35,99.96,100.0,98.57,98.93,99.86,99.73,97.72,99.93,99.9,99.86,97.79,99.96,92.86,98.73
35,Uttarakhand,95.85,99.14,100.0,94.5,96.1,100.0,93.42,81.29,92.41,100.0,95.72,95.28,99.13,99.78,93.9,96.11,100.0,93.53,74.26,83.33,100.0,95.14,96.25,98.99,100.0,95.16,98.06,100.0,96.65,88.09,94.83,100.0,96.43
36,West Bengal,97.81,95.94,98.07,95.07,99.69,98.85,99.3,100.0,100.0,100.0,97.75,98.0,96.2,96.56,95.49,99.7,98.99,99.32,97.7,100.0,91.67,97.93,98.43,97.22,100.0,96.92,99.75,99.17,99.28,98.32666666666668,100.0,100.0,98.42
